pk_name,NOM_CAMP,NOM_TABLA
PRIMARY,id,c_tipo_institucion_shf
PRIMARY,id,c_tipo_intervencion
PRIMARY,id,c_tipo_modalidad
PRIMARY,id,c_tipo_vivienda
PRIMARY,id,c_tipo_vivienda_cedula
PRIMARY,id,c_tipo_vivienda_fonhapo
PRIMARY,id,c_tipologia_cedula
PRIMARY,id,c_tipologia_ruv
PRIMARY,id,c_tipologia_sisevive
PRIMARY,anio,c_uma
PRIMARY,id,c_unidad_medida
PRIMARY,id,c_valor_vivienda
PRIMARY,id,c_valor_vivienda_uma
PRIMARY,id,c_valor_vivienda_vsm
PRIMARY,id,c_vertiente_presidencia
PRIMARY,id,c_vivienda_sustentable
PRIMARY,anio,carga_renaret
PRIMARY,mes,carga_renaret
PRIMARY,id,carga_renaret
PRIMARY,id,cedula_ciudad_pnv
PRIMARY,id,cedula_empresa_pnv
PRIMARY,id,cedula_enlace_pnv
PRIMARY,id,cedula_inscripcion_pnv
PRIMARY,id,cedula_representante_pnv
PRIMARY,id,cnbv
PRIMARY,anio,cnbv
PRIMARY,mes,cnbv
PRIMARY,id,cnbv_bkp
PRIMARY,anio,cnbv_bkp
PRIMARY,mes,cnbv_bkp
PRIMARY,PERIODO_REP,conavi_06100_fte_his
PRIMARY,id,conavi_06100_fte_his
PRIMARY,folio,conavi_semanal
PRIMARY,anio,conavi_semanal
PRIMARY,id,consulta_curp
PRIMARY,id,cubo_cnbv
PRIMARY,anio,cubo_cnbv
PRIMARY,mes,cubo_cnbv
PRIMARY,id,cubo_cnbv_bak
PRIMARY,anio,cubo_cnbv_bak
PRIMARY,mes,cubo_cnbv_bak
PRIMARY,id,cubo_cnbv_bkp
PRIMARY,anio,cubo_cnbv_bkp
PRIMARY,mes,cubo_cnbv_bkp
PRIMARY,id,cubo_cnbv_tmp
PRIMARY,anio,cubo_cnbv_tmp
PRIMARY,mes,cubo_cnbv_tmp
PRIMARY,folio,cubo_conavi
PRIMARY,anio,cubo_conavi
